x y
1 2
1 3
1 4
2 1
3 1
4 1
6 2
6 3
6 4
2 6
3 6
4 6
1 -2
1 -3
1 -4
2 -1
3 -1
4 -1
6 -2
6 -3
6 -4
2 -6
3 -6
4 -6
-1 -2
-1 -3
-1 -4
-2 -1
-3 -1
-4 -1
-6 -2
-6 -3
-6 -4
-2 -6
-3 -6
-4 -6
-1 2
-1 3
-1 4
-2 1
-3 1
-4 1
-6 2
-6 3
-6 4
-2 6
-3 6
-4 6
