x y
15 11
15 12
15 37
15 38
16 11
16 12
16 37
16 38
17 29
17 30
18 28
18 31
19 29
19 30
20 25
21 24
21 26
22 23
22 27
23 23
23 26
25 23
25 26
26 22
26 26
27 23
27 25
28 24
29 19
29 20
30 18
30 21
31 19
31 20
32 11
32 12
32 37
32 38
33 11
33 12
33 37
33 38
