T M M_Err X X_Err
1.0 2498.2305358948433 0.06136636227517392 0.0014897625137120485 7.988920107314355e-05
1.1 2496.036400404449 0.09566034796520263 0.003290997181426395 0.00018525303180744217
1.2000000000000002 2492.5864509605663 0.13302258271588435 0.005833454143255948 0.0002872138594476087
1.3000000000000003 2486.912032355915 0.18641253729076762 0.010574580949086409 0.0006399585633468952
1.4000000000000004 2478.752275025278 0.241216385294668 0.01644151592706995 0.0007570765777843393
1.5000000000000004 2465.783619817998 0.3177783881459772 0.026632610621054962 0.0013209598409909095
1.6000000000000005 2449.233569261881 0.4189013440099126 0.04338701857929116 0.002165306528057714
1.7000000000000006 2424.420626895854 0.5703312823058511 0.07569405084453958 0.004744041003485663
1.8000000000000007 2392.7866531850354 0.7161887309242365 0.11272980200478595 0.0050783284254022395
1.9000000000000008 2344.8574317492416 0.9641001980639105 0.19352943385176746 0.009301441933299544
2.000000000000001 2278.614762386249 1.363215765068449 0.3675830585375427 0.018011700512542278
2.100000000000001 2177.2072800808896 2.0913223423298914 0.823908422665404 0.04507883097816239
2.200000000000001 1965.102123356926 5.047840608342218 4.581892211699856 0.27310938593135914
2.300000000000001 907.8806875631951 18.217072450945228 57.08021733347385 1.4016624086098421
2.4000000000000012 577.0293225480283 12.823384944619969 27.105061703681507 0.9202177912041085
2.5000000000000013 280.9180990899899 6.183402481901013 6.050221939903138 0.2813505259205012
2.6000000000000014 260.24671385237616 6.03764815643757 5.546493863548261 0.2570097664721977
2.7000000000000015 212.96258847320524 4.860801929694737 3.46185097041883 0.16766603360644422
2.8000000000000016 169.7168857431749 3.935664429684142 2.188438643363872 0.09845892818303253
2.9000000000000017 151.23963599595552 3.598955335283682 1.7668968594217704 0.09975642531923626
3.0000000000000018 133.7654196157735 3.2601572461500967 1.4015613855545468 0.07308740135686084
