T E E_Err SHC SHC_Err
1.0 -4725.427704752275 0.5249585975769933 0.1090200529396534 0.004959129011740767
1.1 -4711.037411526795 0.5880627199521121 0.11306240238310876 0.005364326790940158
1.2000000000000002 -4687.510616784631 0.655609061270598 0.11808199599074817 0.005381837837315411
1.3000000000000003 -4657.775530839232 0.7415451392266378 0.1287196242324346 0.005717984317737177
1.4000000000000004 -4609.973710819009 1.0164728588695073 0.20854116020762178 0.009601597854408485
1.5000000000000004 -4559.724974721941 1.2132613692217276 0.25881086495916034 0.01093395380011227
1.6000000000000005 -4480.343781597573 1.409454904903637 0.3069860835216239 0.01388861012477485
1.7000000000000006 -4399.575328614763 1.659758374101471 0.37709274518139196 0.017001625154132036
1.8000000000000007 -4286.3902932254805 1.965687725101118 0.4717808669203038 0.02033464216311162
1.9000000000000008 -4179.6966632962585 2.360787931989515 0.610749378788834 0.027028690500616948
2.000000000000001 -4000.6268958543983 2.6396009369298596 0.6890850682072335 0.030429137701216854
2.100000000000001 -3798.612740141557 3.0847022304023937 0.8535799169067345 0.0392993858190567
2.200000000000001 -3499.7573306370073 3.7143881469071727 1.1276789945057653 0.04823348210318232
2.300000000000001 -3218.895854398382 3.892714700923732 1.1331979007649953 0.047742204595867095
2.4000000000000012 -2968.444893832154 3.9040946427710623 1.046825935759503 0.04831220775882959
2.5000000000000013 -2722.2487360970676 3.5297466929170014 0.7886119351859681 0.03732126361791038
2.6000000000000014 -2554.701718907988 3.2672285771027014 0.62469585601841 0.026765578928180905
2.7000000000000015 -2397.613751263903 3.447471193330564 0.6449559393649803 0.029713081197473065
2.8000000000000016 -2249.314459049545 3.1843212968792023 0.5116511835928107 0.022900264191087982
2.9000000000000017 -2135.3245702730032 2.9608778389408057 0.4123834865056993 0.018300434694150127
3.0000000000000018 -2037.2133468149646 3.1712123981688385 0.4420429157992199 0.018748481988245313
