T E E_Err SHC SHC_Err
1.0 -4993.100101112234 0.23531814965781592 0.021906204244494437 0.0011337171954688612
1.1 -4984.639029322548 0.36072579156989826 0.04254272483966567 0.0020540866020118125
1.2000000000000002 -4971.619817997977 0.4930142265184255 0.06677481506847671 0.003356298899835029
1.3000000000000003 -4950.487360970677 0.6760296948514959 0.10697963803301191 0.005535532852279008
1.4000000000000004 -4921.379170879676 0.8452056367208778 0.144186626549582 0.006694275191465388
1.5000000000000004 -4875.757330637007 1.0558546800343638 0.19601173070073116 0.009766410619298128
1.6000000000000005 -4820.9180990899895 1.30715805700717 0.2640417034301206 0.012556198041210012
1.7000000000000006 -4744.206268958544 1.6120239307624586 0.3557143696420743 0.015551689434215074
1.8000000000000007 -4649.160768452983 1.9417328367535394 0.46035219985485776 0.020326993540927464
1.9000000000000008 -4521.201213346815 2.2740600038589602 0.5666996191953849 0.025578375513426135
2.000000000000001 -4365.49646107179 2.6900737063382847 0.7156895083531731 0.03122965342757408
2.100000000000001 -4159.247724974722 3.320983944901935 0.9893529328173377 0.04656113082408134
2.200000000000001 -3869.7189079878667 4.192882108183195 1.43693202553871 0.05953951281334012
2.300000000000001 -3356.222446916077 5.18717698265184 2.012161073255965 0.088046160837977
2.4000000000000012 -3030.309403437816 4.280264851644319 1.2582736014596743 0.05437621297770156
2.5000000000000013 -2754.305358948433 3.5291860390334944 0.7883614337939016 0.034581295154256377
2.6000000000000014 -2573.217391304348 3.4251963495872837 0.686563216737311 0.03127853521934965
2.7000000000000015 -2410.0222446916077 3.2928185398050758 0.5883887376014867 0.02773302639768715
2.8000000000000016 -2271.4256825075836 3.26320775666283 0.5373158719209112 0.02487514598206107
2.9000000000000017 -2146.9362992922142 3.195978598411769 0.4804719205845173 0.0214567817124716
3.0000000000000018 -2042.3822042467139 2.9940265784620235 0.3940261780381819 0.017429074439813612
