Probability Var Var_Err
0.2 0.0 0.0
0.21000000000000002 0.0 0.0
0.22000000000000003 0.0 0.0
0.23000000000000004 0.0 0.0
0.24000000000000005 0.0 0.0
0.25000000000000006 0.0 0.0
0.26000000000000006 0.0 0.0
0.2700000000000001 0.0 0.0
0.2800000000000001 0.0 0.0
0.2900000000000001 0.0 0.0
0.3000000000000001 0.0 0.0
0.3100000000000001 0.0 0.0
0.3200000000000001 0.7957820065714942 0.011104792653002658
0.3300000000000001 0.6633369685923477 0.00910263347594775
0.34000000000000014 0.7023692222767626 0.010207072736985614
0.35000000000000014 0.6435353043215 0.00955158733296845
0.36000000000000015 0.5952895549580921 0.008124491526422018
0.37000000000000016 0.5603714153433568 0.007587604042958947
0.38000000000000017 0.5865135262001073 0.008678083772539869
0.3900000000000002 0.4947361010088469 0.007356476784649798
0.4000000000000002 0.5149961821344797 0.007223662336290913
0.4100000000000002 0.47007431443415115 0.0067122458025701826
0.4200000000000002 0.4840984780946281 0.006774588447301596
0.4300000000000002 0.5007498438972979 0.007088519276534922
0.4400000000000002 0.4597414429071359 0.006324699223700689
0.45000000000000023 0.45241263518689667 0.00652215086938164
0.46000000000000024 0.4479993438608013 0.006590470991776068
0.47000000000000025 0.43435130542956757 0.006147829202188981
0.48000000000000026 0.44004637769109106 0.006084170525262812
0.49000000000000027 0.4427005555641139 0.0061731790353353735
0.5000000000000002 0.4249866629227065 0.0060682407090331
