v0.0 v0.05 v0.1 v0.15000000000000002 v0.2 v0.25 v0.30000000000000004 v0.35000000000000003 v0.4 v0.45 v0.5 v0.55 v0.6000000000000001 v0.65 v0.7000000000000001 v0.75 v0.8 v0.8500000000000001 v0.9 v0.9500000000000001 v1.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6640104256408559 0.6982080106132155 0.388446996746496 1.3401128696263827 0.5623591743896046 0.8362357272187132 0.746044825205591 0.8934793901008088 0.7690246218190121 0.6441004495987493
0.0 0.0 0.0 0.0 0.0 0.0 0.5777123630136651 0.5589164932700441 1.1039586862137425 0.6575667038409855 0.5802535853170557 0.5294787760733743 0.598242920397874 0.49143774485196917 0.5545271541812224 0.4168336296256166 0.5267623427230981 0.5276837774711661 0.449050542434305 0.47748402095786296 0.5185995877759764
0.0 0.0 0.0 0.0 0.5376857105353607 0.8567736673610546 0.5883580950319709 0.46820729518306325 0.6258437256074976 0.5295224954684264 0.5061897004111204 0.5344388785181334 0.4504870564257726 0.47051153095038606 0.4294465284102829 0.4345288840391906 0.4819200710219797 0.39825242179115306 0.4300167466766201 0.4112115222329274 0.5057371758144349
0.0 0.0 0.0 0.3304637570503437 0.5877825557289005 0.438408945882821 0.49516673269866734 0.4272054829604458 0.46850550089629833 0.527367339311284 0.4843500565630617 0.5299300124949775 0.4342008515021298 0.4151788192596752 0.43594879764649086 0.4094652129607042 0.42772883153422736 0.4235161431701854 0.40058599219843743 0.41278244811375625 0.4378345119894948
0.0 0.0 0.2714758866975084 0.47271268465663013 0.47563845968089297 0.4446346654963214 0.4066469135802356 0.4375130878626369 0.4778897007117048 0.46997745853960515 0.3612410520630889 0.37898713929145594 0.43812713935154024 0.38418749159569854 0.3590441933424212 0.3960399855310563 0.35361385249113664 0.3778558843126986 0.4133108636163641 0.3591148337527178 0.41345158091029155
0.0 0.0 0.45781059618176806 0.5379102425749065 0.5185956583209802 0.41905014524033757 0.4616891013135435 0.48059339179019445 0.4743651094537927 0.4576415510605322 0.4582013949885499 0.36529270491711796 0.40791329066799953 0.3924642119597178 0.39313525417307393 0.3385301625950262 0.3786176735293586 0.351006202198239 0.3635412453494966 0.37487980312644503 0.3577943420898169
0.0 0.0 0.5132333855376885 0.5879665034403792 0.38944177170164185 0.5004945269593852 0.4052123939755606 0.41736238420603333 0.36655747639529873 0.4037888659430435 0.44761965408851395 0.42704723542365247 0.396982156931702 0.40778974369764326 0.35513404896389694 0.37618929760591124 0.39611515258997676 0.35439296674053183 0.38580186512838116 0.35308333518700674 0.37284470055634156
0.0 0.0 0.9259776108440783 0.6673949625301 0.43512380127875366 0.41133068043017995 0.3816522139757173 0.38234769544319713 0.3385872968063457 0.38293325958591884 0.40284828091356906 0.3864067815563176 0.3625307974640746 0.3678025348671712 0.3262878285693005 0.32681107614124194 0.32686995303612204 0.3452612332052086 0.30929317064811473 0.3503720785850659 0.3440398668939248
0.0 0.0 0.5656543462381319 0.5889179846513259 0.48264777770764195 0.4373085694303038 0.3887573266960913 0.40923463363265616 0.412330923916935 0.3595360116873868 0.37899783106432294 0.4283225263301283 0.3902397316234652 0.33184883702523077 0.3378340534728952 0.36223903903900645 0.3240359133908991 0.3461142447752878 0.32350890550212935 0.36502030759481713 0.3207080602123402
0.0 0.0 0.549367601836074 0.6075519483447482 0.5207102654205635 0.4512810764718801 0.4234881223565899 0.4240896111326525 0.40376784552317113 0.4088096705313772 0.37707955483007244 0.35347383980578745 0.33334820305788887 0.33038623328031974 0.3443192774355877 0.351395814633416 0.3306665953240823 0.3377605505404994 0.33338762746723366 0.3339106706305407 0.32575726797860116
0.0 0.0 0.6569924591257906 0.5374768498227932 0.5023054910766543 0.5045541140740505 0.42797335072811693 0.3805579272966366 0.4064228192155715 0.37713774635503067 0.36592662412165666 0.3720151005860884 0.319727680433169 0.3415625699773431 0.3325839569299016 0.3211262177092023 0.3682179556934163 0.3112598348097876 0.32233101409720255 0.3192431983535178 0.33488463438414035
0.0 0.0 0.7057596078561037 0.492028266905545 0.46584357410463273 0.47246200434670316 0.3510795223652152 0.38165676387099084 0.3882427059691865 0.3697283044807147 0.32738138579018417 0.3467862825789023 0.31145202139075845 0.3344471029588487 0.3517823192561511 0.29970459187924864 0.33194104374647143 0.33329372455542905 0.3520534115696326 0.3104519518516958 0.2884833806780167
