fImm fInf Err
0.0 0.25468914091409134 0.00011076857594095178
0.01 0.2476898409840984 0.00034317235721846736
0.02 0.24272057605760575 0.000640852548032338
0.03 0.23589437343734376 0.000750613565384682
0.04 0.23284748474847486 0.0008283954477404959
0.05 0.22355864386438645 0.0008413441759762085
0.06 0.2167685888588859 0.0014347502794127514
0.07 0.21566681468146814 0.0018570444663742107
0.08 0.204478303830383 0.0018407855758808952
0.09 0.19687638363836382 0.0015311039785150494
0.1 0.19076730073007298 0.001997620618509687
0.11 0.17879479947994797 0.001786669994463418
0.12 0.17234506650665066 0.0011204037503520401
0.13 0.167305602560256 0.0018816847576885148
0.14 0.15630056605660564 0.0017854834041128942
0.15 0.14801443344334433 0.0036253169818245834
0.16 0.14411088308830883 0.002500038622571287
0.17 0.13896705670567056 0.0018622067784848796
0.18 0.12239884788478847 0.004185945625507542
0.19 0.11586129812981297 0.0036552507572639014
0.2 0.09529207320732073 0.004742092738808791
0.21 0.09067261126112611 0.002175116494089927
0.22 0.07560593659365937 0.005139373207514945
0.23 0.05763871587158716 0.006254486903011398
0.24 0.029730437043704372 0.011098747665184296
0.25 0.0125204200420042 0.011198604128308864
0.26 0.0 0.0
0.27 0.0 0.0
0.28 0.0 0.0
0.29 0.0 0.0
0.3 0.0 0.0
0.31 0.0 0.0
0.32 0.0 0.0
0.33 0.0 0.0
0.34 0.0 0.0
0.35000000000000003 0.0 0.0
0.36 0.0 0.0
0.37 0.0 0.0
0.38 0.0 0.0
0.39 0.0 0.0
0.4 0.0 0.0
0.41000000000000003 0.0 0.0
0.42 0.0 0.0
0.43 0.0 0.0
0.44 0.0 0.0
0.45 0.0 0.0
0.46 0.0 0.0
0.47000000000000003 0.0 0.0
0.48 0.0 0.0
0.49 0.0 0.0
0.5 0.0 0.0
0.51 0.0 0.0
0.52 0.0 0.0
0.53 0.0 0.0
0.54 0.0 0.0
0.55 0.0 0.0
0.56 0.0 0.0
0.5700000000000001 0.0 0.0
0.58 0.0 0.0
0.59 0.0 0.0
0.6 0.0 0.0
0.61 0.0 0.0
0.62 0.0 0.0
0.63 0.0 0.0
0.64 0.0 0.0
0.65 0.0 0.0
0.66 0.0 0.0
0.67 0.0 0.0
0.68 0.0 0.0
0.6900000000000001 0.0 0.0
0.7000000000000001 0.0 0.0
0.71 0.0 0.0
0.72 0.0 0.0
0.73 0.0 0.0
0.74 0.0 0.0
0.75 0.0 0.0
0.76 0.0 0.0
0.77 0.0 0.0
0.78 0.0 0.0
0.79 0.0 0.0
0.8 0.0 0.0
0.81 0.0 0.0
0.8200000000000001 0.0 0.0
0.8300000000000001 0.0 0.0
0.84 0.0 0.0
0.85 0.0 0.0
0.86 0.0 0.0
0.87 0.0 0.0
0.88 0.0 0.0
0.89 0.0 0.0
0.9 0.0 0.0
0.91 0.0 0.0
0.92 0.0 0.0
0.93 0.0 0.0
0.9400000000000001 0.0 0.0
0.9500000000000001 0.0 0.0
0.96 0.0 0.0
0.97 0.0 0.0
0.98 0.0 0.0
0.99 0.0 0.0
1.0 0.0 0.0
