v0.0 v0.05 v0.1 v0.15000000000000002 v0.2 v0.25 v0.30000000000000004 v0.35000000000000003 v0.4 v0.45 v0.5 v0.55 v0.6000000000000001 v0.65 v0.7000000000000001 v0.75 v0.8 v0.8500000000000001 v0.9 v0.9500000000000001 v1.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04536056056056056 0.056708308308308315 0.05726406406406406 0.08163603603603603 0.09598758758758759 0.10248608608608609 0.11513793793793793 0.12034034034034034 0.126588988988989 0.13766086086086085
0.0 0.0 0.0 0.0 0.0 0.0 0.04221341341341341 0.07141701701701703 0.09735815815815815 0.11552712712712712 0.1350082082082082 0.14685765765765765 0.16438078078078078 0.17316596596596595 0.18246126126126125 0.19145625625625626 0.1972028028028028 0.20463903903903904 0.20766486486486488 0.21809609609609612 0.2201389389389389
0.0 0.0 0.0 0.0 0.04601761761761762 0.08055015015015014 0.10528168168168167 0.13539779779779781 0.15389389389389388 0.1749009009009009 0.18834034034034033 0.2052768768768769 0.21649849849849853 0.22468508508508508 0.2358938938938939 0.24211811811811812 0.2495031031031031 0.25756516516516514 0.2645449449449449 0.26954034034034036 0.27238038038038037
0.0 0.0 0.0 0.04095895895895896 0.08471791791791791 0.12138498498498497 0.14870190190190188 0.17131411411411412 0.19217097097097097 0.21064704704704704 0.22621541541541543 0.24167247247247248 0.2525865865865866 0.2621673673673674 0.27131451451451455 0.2813033033033033 0.2897873873873874 0.2971279279279279 0.30357637637637636 0.30815335335335337 0.312996996996997
0.0 0.0 0.03024144144144144 0.0731011011011011 0.11022742742742744 0.14306026026026028 0.17475555555555555 0.19696696696696697 0.21963683683683685 0.2382810810810811 0.2530442442442442 0.26725605605605607 0.27954274274274277 0.2915383383383383 0.30273913913913914 0.31112392392392396 0.31996556556556555 0.3256680680680681 0.3337221221221221 0.3386198198198198 0.34337337337337337
0.0 0.0 0.04293573573573573 0.08599479479479478 0.1248932932932933 0.1634014014014014 0.19274274274274272 0.21792512512512513 0.2424964964964965 0.258785985985986 0.2772016016016016 0.29004644644644645 0.302592992992993 0.31647447447447447 0.32435315315315316 0.33491171171171175 0.3433957957957958 0.34995995995995993 0.3571383383383383 0.36332052052052055 0.3678366366366366
0.0 0.0 0.05525605605605606 0.09876276276276276 0.14004764764764763 0.17917837837837838 0.21002842842842842 0.2338226226226226 0.2577801801801802 0.2771167167167167 0.29262422422422424 0.3092092092092092 0.3231219219219219 0.3349029029029029 0.34379139139139137 0.354026026026026 0.36260500500500503 0.36910070070070067 0.37681161161161164 0.38321481481481484 0.3887735735735736
0.0 0.0 0.06233313313313313 0.10746306306306305 0.1525141141141141 0.18873593593593593 0.2215023023023023 0.24794114114114113 0.270414014014014 0.29131611611611613 0.31016856856856856 0.3247003003003003 0.3383555555555556 0.3518866866866867 0.3613037037037037 0.37074154154154154 0.3781973973973974 0.3875011011011011 0.39486966966966963 0.39945865865865865 0.40686126126126126
0.0 0.0 0.0682018018018018 0.11542222222222222 0.16225505505505505 0.19887887887887887 0.23270150150150148 0.25882002002002 0.28287647647647646 0.30377297297297295 0.32194794794794795 0.3362062062062062 0.35060180180180184 0.36359079079079076 0.37388508508508506 0.38493333333333335 0.39228588588588587 0.4016776776776777 0.40747827827827826 0.4159547547547548 0.42074394394394393
0.0 0.0 0.07609249249249249 0.12386786786786785 0.17011811811811814 0.20778578578578577 0.24155915915915915 0.2687943943943944 0.2926298298298298 0.3131211211211211 0.33218418418418416 0.34937217217217215 0.3621425425425426 0.37533053053053056 0.3862842842842843 0.39670790790790794 0.40714754754754756 0.4140128128128128 0.422391991991992 0.428404004004004 0.4357781781781782
0.0 0.0 0.08057777777777778 0.12770090090090092 0.17582462462462464 0.216004004004004 0.248607007007007 0.27732372372372377 0.3015987987987988 0.32408248248248245 0.3416064064064064 0.35937457457457456 0.3733221221221221 0.3843703703703704 0.3974990990990991 0.40744904904904905 0.41752992992992993 0.4266998998998999 0.43374334334334336 0.44164404404404406 0.44721001001001004
0.0 0.0 0.08327527527527527 0.13436556556556556 0.18033713713713714 0.22079519519519517 0.25515635635635636 0.28436596596596597 0.3096116116116116 0.332623023023023 0.35113673673673673 0.3675259259259259 0.38183183183183184 0.3947291291291291 0.40671831831831834 0.41796956956956954 0.42752072072072067 0.43573973973973973 0.4437157157157158 0.4509997997997998 0.45807567567567564
0.0 0.0 0.08544504504504505 0.13954114114114113 0.1857009009009009 0.22685325325325326 0.26086566566566566 0.2911151151151151 0.31631431431431434 0.33835435435435435 0.3580388388388388 0.37444284284284285 0.3896216216216216 0.4028316316316316 0.4147171171171171 0.426201001001001 0.4358838838838838 0.44424904904904905 0.45330370370370376 0.46043963963963963 0.46799559559559556
0.0 0.0 0.09002202202202202 0.14334174174174175 0.19097657657657657 0.23216856856856857 0.266395995995996 0.29679879879879884 0.32268188188188185 0.34466506506506506 0.36461501501501503 0.3827263263263263 0.3970802802802803 0.41072312312312315 0.42268308308308306 0.4331075075075075 0.44339699699699703 0.4531411411411412 0.4612436436436436 0.4698326326326326 0.47574934934934937
0.0 0.0 0.09161481481481482 0.14644644644644644 0.19425305305305304 0.2357201201201201 0.2701437437437437 0.3010406406406406 0.32802002002002 0.3512492492492493 0.3708196196196196 0.38894094094094095 0.4031175175175175 0.4169389389389389 0.4299003003003003 0.44085845845845845 0.4510722722722723 0.4604332332332332 0.4687527527527527 0.47642442442442445 0.4843135135135135
